opportunity_id,lead_id,account_id,opportunity_created_at,stage_name,amount,close_date
O20285,L10483,A11,2024-10-21 20:00:00,Proposal Sent,35872.95,2024-12-02 20:00:00
O20286,L10286,A52,2024-10-22 04:00:00,Qualified,12239.77,2024-12-07 04:00:00
O20287,L10508,A65,2024-10-05 21:00:00,Negotiation,35883.44,2024-11-05 21:00:00
O20288,L10399,A84,2024-09-27 03:00:00,Closed Lost,23076.65,2024-11-02 03:00:00
O20289,L10468,A55,2024-10-30 20:00:00,Proposal Sent,38392.93,2024-12-13 20:00:00
O20290,L10183,A58,2024-11-05 17:00:00,Closed Won,21777.14,2025-02-03 17:00:00
O20291,L10329,A43,2024-11-24 12:00:00,Closed Won,48729.66,2025-01-07 12:00:00
O20292,L10520,A23,2024-10-06 05:00:00,Negotiation,28927.02,2024-12-24 05:00:00
O20293,L10224,A87,2024-11-13 09:00:00,Qualified,11767.42,2025-01-25 09:00:00
O20294,L10444,A76,2024-10-01 20:00:00,Proposal Sent,13892.59,2025-01-17 20:00:00
O20295,L10595,A59,2024-11-04 10:00:00,Negotiation,7184.46,2025-01-09 10:00:00
O20296,L10335,A16,2024-10-26 13:00:00,Negotiation,25711.28,2024-12-01 13:00:00
O20297,L10345,A88,2024-10-26 05:00:00,Proposal Sent,16354.71,2025-01-07 05:00:00
O20298,L10602,A38,2024-10-13 04:00:00,Qualified,29423.68,2024-12-04 04:00:00
O20299,L10514,A46,2024-09-26 04:00:00,Negotiation,5788.35,2024-12-06 04:00:00
O20300,L10177,A82,2024-10-28 02:00:00,Qualified,31810.05,2025-01-11 02:00:00
O20301,L10810,A5,2024-11-14 20:00:00,Closed Won,38240.61,2025-01-14 20:00:00
O20302,L10733,A11,2024-10-27 21:00:00,Closed Won,9255.77,2024-12-14 21:00:00
O20303,L10164,A64,2024-11-22 06:00:00,Negotiation,45172.25,2025-02-04 06:00:00
O20304,L10249,A89,2024-10-31 22:00:00,Closed Won,15984.53,2025-02-05 22:00:00
O20305,L10537,A59,2024-10-03 13:00:00,Qualified,8444.13,2024-12-19 13:00:00
O20306,L10735,A19,2024-10-19 13:00:00,Closed Won,48957.95,2025-02-07 13:00:00
O20307,L10075,A13,2024-10-04 09:00:00,Negotiation,28068.45,2024-11-13 09:00:00
O20308,L10732,A82,2024-10-20 01:00:00,Closed Lost,18589.37,2025-01-09 01:00:00
O20309,L10425,A24,2024-10-01 19:00:00,Closed Lost,16558.61,2025-01-22 19:00:00
O20310,L10105,A11,2024-10-20 00:00:00,Negotiation,48432.2,2024-12-13 00:00:00
O20311,L10115,A34,2024-11-07 21:00:00,Proposal Sent,32701.17,2025-02-14 21:00:00
O20312,L10315,A32,2024-10-14 18:00:00,Closed Lost,40952.93,2024-12-30 18:00:00
O20313,L10093,A61,2024-09-29 11:00:00,Demo Scheduled,39232.36,2024-12-23 11:00:00
O20314,L10491,A96,2024-09-12 23:00:00,Closed Lost,40023.9,2024-11-16 23:00:00
O20315,L10090,A86,2024-11-07 08:00:00,Qualified,32208.02,2024-12-30 08:00:00
O20316,L10451,A37,2024-10-28 14:00:00,Proposal Sent,5227.3,2024-12-23 14:00:00
O20317,L10763,A54,2024-10-22 18:00:00,Closed Lost,10839.51,2024-12-25 18:00:00
O20318,L10772,A77,2024-10-06 23:00:00,Closed Lost,19317.17,2024-12-03 23:00:00
O20319,L10598,A3,2024-09-24 12:00:00,Closed Lost,19607.4,2024-11-01 12:00:00
O20320,L10533,A37,2024-11-15 10:00:00,Closed Lost,37041.51,2025-02-11 10:00:00
O20321,L10095,A54,2024-09-26 12:00:00,Closed Lost,31785.38,2025-01-03 12:00:00
O20322,L10012,A61,2024-11-11 18:00:00,Closed Won,5565.53,2025-01-23 18:00:00
O20323,L10807,A45,2024-10-23 18:00:00,Negotiation,11830.04,2025-01-24 18:00:00
O20324,L10044,A69,2024-10-29 05:00:00,Closed Lost,12650.6,2025-01-16 05:00:00
O20325,L10043,A52,2024-10-21 04:00:00,Qualified,34731.43,2025-02-01 04:00:00
O20326,L10168,A81,2024-09-17 17:00:00,Negotiation,30259.66,2024-11-30 17:00:00
O20327,L10728,A27,2024-10-30 09:00:00,Closed Lost,49319.09,2025-01-15 09:00:00
O20328,L10517,A38,2024-10-07 00:00:00,Proposal Sent,25317.46,2025-01-04 00:00:00
O20329,L10636,A20,2024-10-09 23:00:00,Closed Won,31322.16,2025-01-26 23:00:00
O20330,L10432,A73,2024-10-31 20:00:00,Negotiation,23692.68,2024-12-02 20:00:00
O20331,L10179,A37,2024-10-24 12:00:00,Closed Won,38482.34,2024-12-23 12:00:00
O20332,L10549,A69,2024-09-29 09:00:00,Demo Scheduled,22029.3,2024-11-13 09:00:00
O20333,L99999,A13,2024-09-26 00:00:00,Demo Scheduled,14508.73,2024-10-15 00:00:00
O20334,L99999,A74,2024-09-19 00:00:00,Demo Scheduled,43920.2,2024-11-21 00:00:00
O20335,L99999,A71,2024-09-27 00:00:00,Proposal Sent,38807.64,2024-11-23 00:00:00
O20336,L99999,A77,2024-09-18 00:00:00,Proposal Sent,39672.49,2024-12-20 00:00:00
O20337,L99999,A14,2024-10-13 00:00:00,Closed Lost,48210.77,2024-12-21 00:00:00
O20338,L99999,A41,2024-10-03 00:00:00,Closed Won,28962.88,2024-10-29 00:00:00
O20339,L99999,A52,2024-10-02 00:00:00,Negotiation,17882.75,2024-11-27 00:00:00
O20340,L99999,A21,2024-10-30 00:00:00,Demo Scheduled,23002.45,2024-10-01 00:00:00
O20341,L99999,A69,2024-10-24 00:00:00,Proposal Sent,39332.07,2024-12-23 00:00:00
O20342,L99999,A23,2024-10-14 00:00:00,Qualified,22250.9,2024-12-23 00:00:00
O20343,L99999,A54,2024-09-27 00:00:00,Negotiation,13499.37,2024-10-04 00:00:00
O20344,L99999,A80,2024-09-15 00:00:00,Demo Scheduled,32436.77,2024-12-04 00:00:00
O20345,L99999,A11,2024-10-09 00:00:00,Closed Won,37946.66,2024-10-03 00:00:00
O20346,L99999,A42,2024-10-10 00:00:00,Demo Scheduled,12490.65,2024-12-20 00:00:00
O20347,L99999,A61,2024-10-14 00:00:00,Qualified,47833.07,2024-10-03 00:00:00
O20348,L99999,A96,2024-10-09 00:00:00,Closed Lost,22520.27,2024-12-05 00:00:00
O20349,L99999,A25,2024-10-25 00:00:00,Demo Scheduled,25599.6,2024-10-31 00:00:00
O20350,L99999,A23,2024-10-01 00:00:00,Closed Lost,46462.36,2024-11-11 00:00:00
O20351,L99999,A17,2024-09-19 00:00:00,Qualified,45250.05,2024-10-27 00:00:00
O20352,L99999,A74,2024-09-30 00:00:00,Negotiation,16027.11,2024-12-17 00:00:00
